"","Team","Player","College","Play_Yrs","Games","Year","Pick"
"4810","LAL","Zam Fredrick","University of South Carolina",NA,NA,1981,51
"4811","ATL","Rudy Macklin","Louisiana State University",3,160,1981,52
"4812","SEA","Mark Radford","Oregon State University",2,97,1981,53
"4813","SDC","Jim Smith","Ohio State University",2,76,1981,54
"4814","CLE","Mickey Dillard","Florida State University",1,33,1981,55
"4815","GSW","Carlton Neverson","University of Pittsburgh",NA,NA,1981,56
"4816","NYK","Frank Brickowski","Pennsylvania State University",12,731,1981,57
"4817","KCK","Curtis Berry","University of Missouri",NA,NA,1981,58
"4818","CLE","Russell Bowers","American University",NA,NA,1981,59
"4819","IND","Purvis Miller","University of Southern California",NA,NA,1981,60
"4820","POR","Petur Gudmundsson","University of Washington",4,150,1981,61
"4821","PHO","Sam Clancy","University of Pittsburgh",NA,NA,1981,62
"4822","NYK","Wayne McKoy","St. John's University",NA,NA,1981,63
"4823","SAS","Tom Baker","Eastern Kentucky University",NA,NA,1981,64
"4824","LAL","Ron Cornelius","University of the Pacific",NA,NA,1981,65
"4825","PHO","Craig Dykema","California State University, Long Beach",1,32,1981,66
"4826","MIL","Mark Smith","University of Illinois at Urbana-Champaign",NA,NA,1981,67
"4827","PHI","Ernest Graham","University of Maryland",NA,NA,1981,68
"4828","BOS","John Johnson","University of Michigan",NA,NA,1981,69
"4829","DAL","Eddie Moss","Syracuse University",NA,NA,1981,70
"4830","DET","John May","University of South Alabama",NA,NA,1981,71
"4831","NJN","Edmund Sherod","Virginia Commonwealth University",NA,NA,1981,72
"4832","UTA","George Torres","Southern Nazarene University",NA,NA,1981,73
"4833","CLE","Ethan Martin","Louisiana State University",NA,NA,1981,74
"4834","ATL","Kevin Figaro","University of Louisiana at Lafayette",NA,NA,1981,75
"4835","GSW","Lewis Lloyd","Drake University",7,388,1981,76
"4836","SDC","Lee Raker","University of Virginia",NA,NA,1981,77
"4837","KCK","Kenny Dennard","Duke University",3,95,1981,78
"4838","WSB","Ron Davis","University of Arizona",NA,NA,1981,79
"4839","GSW","Terry Adolph","West Texas A&M University",NA,NA,1981,80
"4840","HOU","Larry Spriggs","Howard University",5,169,1981,81
"4841","KCK","B. B. Davis","Lamar University",NA,NA,1981,82
"4842","IND","Rolando Frazier","Briar Cliff University",NA,NA,1981,83
"4843","CHI","Oliver Lee","Marquette University",NA,NA,1981,84
"4844","POR","Pete Verhoeven","California State University, Fresno",6,282,1981,85
"4845","NYK","Alex Bradley","Villanova University",1,39,1981,86
"4846","SAS","Earl Belcher","St. Bonaventure University",NA,NA,1981,87
"4847","LAL","Kevin McKenna","Creighton University",6,243,1981,88
"4848","DET","Don Koonce","University of North Carolina at Charlotte",NA,NA,1981,89
"4849","MIL","Kris Anderson","Florida State University",NA,NA,1981,90
"4850","BOS","Stanley Williams","La Salle University",NA,NA,1981,91
"4851","PHI","Rynn Wright","Texas A&M University",NA,NA,1981,92
"4852","DAL","Pete Budko","University of North Carolina",NA,NA,1981,93
"4853","DET","George DeVone","University of North Carolina at Charlotte",NA,NA,1981,94
"4854","NJN","Joe Cooper","University of Colorado",3,24,1981,95
"4855","CLE","Ken Page","University of New Mexico",NA,NA,1981,96
"4856","UTA","Mike Clark","University of Oregon",NA,NA,1981,97
"4857","ATL","Steve Krafscisin","University of Iowa",NA,NA,1981,98
"4858","SEA","Andra Griffin","University of Washington",NA,NA,1981,99
"4859","SDC","Dennis Isbell","University of Memphis",NA,NA,1981,100
"4860","DEN","Willie Sims","Louisiana State University",NA,NA,1981,101
"4861","GSW","Hank McDowell","University of Memphis",6,206,1981,102
"4862","WSB","Garry Witts","College of the Holy Cross",1,46,1981,103
"4863","KCK","U. S. Reed","University of Arkansas",NA,NA,1981,104
"4864","HOU","Hasan Houston","Bradley University",NA,NA,1981,105
"4865","IND","George Peterson","New Jersey City University",NA,NA,1981,106
"4866","POR","Herb Andrew","University of South Alabama",NA,NA,1981,107
"4867","CHI","Johnny Nash","Arizona State University",NA,NA,1981,108
"4868","NYK","Jim Wright","University of Rhode Island",NA,NA,1981,109
"4869","SAS","Mike Rhodes","Vanderbilt University",NA,NA,1981,110
"4870","LAL","Craig Watts","North Carolina State University",NA,NA,1981,111
"4871","PHO","Paul Heuerman","University of Michigan",NA,NA,1981,112
"4872","MIL","Kelvin Troy","Rutgers University",NA,NA,1981,113
"4873","PHI","Steve Craig","Brigham Young University",NA,NA,1981,114
"4874","BOS","Glen Grunwald","Indiana University",NA,NA,1981,115
"4875","DAL","Karl Bakowski","University of Utah",NA,NA,1981,116
"4876","DET","Vince Brookins","University of Iowa",NA,NA,1981,117
"4877","NJN","Kevin Lynam","La Salle University",NA,NA,1981,118
"4878","UTA","Kevin Sprewer","Loyola University of Chicago",NA,NA,1981,119
"4879","CLE","Aaron Strayhorn","University of Hawaii",NA,NA,1981,120
"4880","ATL","Darryl Warwick","Hampton University",NA,NA,1981,121
"4881","SEA","Earl Banks","Auburn University",NA,NA,1981,122
"4882","SDC","Mike Pepper","University of North Carolina",NA,NA,1981,123
"4883","DEN","Alonzo Weatherley","University of Denver",NA,NA,1981,124
"4884","WSB","Robert Williams","Grambling State University",NA,NA,1981,125
"4885","GSW","Carter Scott","Ohio State University",NA,NA,1981,126
"4886","HOU","Fred Cowan","University of Kentucky",NA,NA,1981,127
"4887","KCK","Brian Walker","Purdue University",NA,NA,1981,128
"4888","IND","Robert Fronk","University of Washington",NA,NA,1981,129
"4889","CHI","Roger Burkman","University of Louisville",1,6,1981,130
"4890","POR","Roshern Arnie","University of Texas at El Paso",NA,NA,1981,131
"4891","NYK","John Blair","Monmouth University",NA,NA,1981,132
"4892","SAS","Norman Shavers","Jackson State University",NA,NA,1981,133
"4893","LAL","Kevin Singleton","University of California",NA,NA,1981,134
"4894","PHO","Pete Harris","Northeastern University",NA,NA,1981,135
"4895","MIL","Jo Jo Hunter","University of Colorado",NA,NA,1981,136
"4896","BOS","Steve Waite","University of Iowa",NA,NA,1981,137
"4897","PHI","Michael Thomas","North Park University",NA,NA,1981,138
"4898","DAL","Danny Davis","University of North Carolina at Wilmington",NA,NA,1981,139
"4899","DET","Greg Nance","West Virginia University",NA,NA,1981,140
"4900","NJN","Rod Robertson","Northwestern University",NA,NA,1981,141
"4901","CLE","Andre Smith","University of Nebraska",NA,NA,1981,142
"4902","UTA","Mike Robinson","Central Michigan University",NA,NA,1981,143
"4903","ATL","Kevin Vesey","Iona College",NA,NA,1981,144
"4904","SEA","Tom Sienkiewicz","Villanova University",NA,NA,1981,145
"4905","SDC","Randy Johnson","University of Southern Colorado",NA,NA,1981,146
"4906","DEN","Greg Manning","University of Maryland",NA,NA,1981,147
"4907","GSW","Robby Dosty","University of Arizona",NA,NA,1981,148
"4908","WSB","Randy Martel","Houston Baptist University",NA,NA,1981,149
"4909","KCK","Clinton Wheeler","William Paterson University",2,87,1981,150
"4910","HOU","Joe Faine","Bowling Green State University",NA,NA,1981,151
"4911","IND","Larry McKinney","Boise State University",NA,NA,1981,152
"4912","POR","Julius Wayne","University of Texas at El Paso",NA,NA,1981,153
"4913","CHI","Scott Williams","University of South Alabama",NA,NA,1981,154
"4914","NYK","Terry Cramer","Ripon College",NA,NA,1981,155
"4915","SAS","Mark Minderman","Northern Michigan University",NA,NA,1981,156
"4916","LAL","Larry Petty","University of Wisconsin",NA,NA,1981,157
"4917","PHO","David Williams","Southern University and A&M College",NA,NA,1981,158
"4918","MIL","Lewis Latimore","University of Virginia",NA,NA,1981,159
"4919","PHI","John Crawford","University of Kansas",NA,NA,1981,160
"4920","BOS","Tom Seaman","College of the Holy Cross",NA,NA,1981,161
"4921","DAL","David Kennedy","University of Cincinnati",NA,NA,1981,162
"4922","DET","Joe Schoen","Saint Francis University",NA,NA,1981,163
"4923","NJN","Ken Webb","Fairleigh Dickinson University",NA,NA,1981,164
"4924","UTA","Bobby Cattage","Auburn University",2,78,1981,165
"4925","CLE","Glen Marcus","University of Alabama at Birmingham",NA,NA,1981,166
"4926","ATL","Gilbert Salinas","University of Notre Dame",NA,NA,1981,167
"4927","SDC","Todd Haynes","Davidson College",NA,NA,1981,168
"4928","DEN","Curtis Redding","St. John's University",NA,NA,1981,169
"4929","WSB","Mike Howard","Wofford College",NA,NA,1981,170
"4930","GSW","Yasutaka Okayama",NA,NA,NA,1981,171
"4931","HOU","Stanley Brewer","State University of West Georgia",NA,NA,1981,172
"4932","KCK","Randy Smithson","Wichita State University",NA,NA,1981,173
"4933","IND","Len Hatzenbeller","Drexel University",NA,NA,1981,174
"4934","CHI","Ben Mitchell","University of Alabama at Huntsville",NA,NA,1981,175
"4935","POR","John Smith","Saint Joseph's University",NA,NA,1981,176
"4936","NYK","Brian O'Connor","Thomas More College",NA,NA,1981,177
"4937","SAS","Bob Bartholomew","University of San Diego",NA,NA,1981,178
"4938","LAL","Jay Triano","Simon Fraser University",NA,NA,1981,179
"4939","PHO","Steve Risley","Indiana University",NA,NA,1981,180
"4940","MIL","Mike Brkovich","Michigan State University",NA,NA,1981,181
"4941","BOS","George Morrow","Creighton University",NA,NA,1981,182
"4942","PHI","Frank Gilroy","St. John's University",NA,NA,1981,183
"4943","DAL","John Hollinden","University of Southern Indiana",NA,NA,1981,184
"4944","DET","Eddie Baker","Alcorn State University",NA,NA,1981,185
"4945","NJN","Rudy Williams","Providence College",NA,NA,1981,186
"4946","CLE","Paul Roba","Cleveland State University",NA,NA,1981,187
"4947","UTA","Ken Ollie","University of Wyoming",NA,NA,1981,188
"4948","ATL","Howard Thompkins","Wagner College",NA,NA,1981,189
"4949","SDC","Art Jones","North Carolina State University",NA,NA,1981,190
"4950","DEN","Andrew Burton","Austin Peay State University",NA,NA,1981,191
"4951","GSW","Doug Murrey","San Jose State University",NA,NA,1981,192
"4952","WSB","Eddie Brown","Valdosta State University",NA,NA,1981,193
"4953","KCK","Mike Perry","University of Richmond",NA,NA,1981,194
"4954","IND","Scott Whitley","College of William & Mary",NA,NA,1981,195
"4955","POR","Sid Williams","San Jose State University",NA,NA,1981,196
"4956","CHI","Terry Martin","Lambath University",NA,NA,1981,197
"4957","NYK","Marty Headd","Syracuse University",NA,NA,1981,198
"4958","SAS","Leonel Marquetti","Hampton University",NA,NA,1981,199
"4959","PHO","Brian Johnson","University of Colorado",NA,NA,1981,200
"4960","MIL","Chip Rucker","Northeastern University",NA,NA,1981,201
"4961","PHI","Ron Wister","Temple University",NA,NA,1981,202
"4962","BOS","Greg McCray","Virginia Commonwealth University",NA,NA,1981,203
"4963","DAL","Scott Bosanko","Northern State University",NA,NA,1981,204
"4964","DET","Melvin Maxwell","Western Michigan University",NA,NA,1981,205
"4965","NJN","Vic Sison","University of California, Los Angeles",NA,NA,1981,206
"4966","UTA","Joe Merten","University of Wisconsin-Eau Claire",NA,NA,1981,207
"4967","CLE","Greg Boone","Augsburg College",NA,NA,1981,208
"4968","ATL","Mike Frazier","Georgetown University",NA,NA,1981,209
"4969","SDC","Tony Gwynn","San Diego State University",NA,NA,1981,210
"4970","DEN","Derrick Rowland","State University of New York at Potsdam",1,2,1981,211
"4971","WSB","Ralton Way","Houston Baptist University",NA,NA,1981,212
"4972","GSW","Barry Brooks","University of Southern California",NA,NA,1981,213
"4973","KCK","Mark Wilson","Fort Hays State University",NA,NA,1981,214
"4974","IND","Rodney Benson","Wright State University",NA,NA,1981,215
"4975","CHI","Kenny Easley","University of California, Los Angeles",NA,NA,1981,216
"4976","POR","Steve Cochran","Lewis and Clark College",NA,NA,1981,217
"4977","NYK","Kevin Rogers","Saint Peter's College",NA,NA,1981,218
"4978","SAS","Alvin Brooks","Lamar University",NA,NA,1981,219
"4979","PHO","Felton Sealey","University of Oregon",NA,NA,1981,220
"4980","MIL","Artie Green","Marquette University",NA,NA,1981,221
"4981","BOS","Ken Matthews","North Carolina State University",NA,NA,1981,222
"4982","PHI","Pete Mullenberg","University of Delaware",NA,NA,1981,223
"4983","LAL","James Worthy","University of North Carolina",12,926,1982,1
"4984","SDC","Terry Cummings","DePaul University",18,1183,1982,2
"4985","UTA","Dominique Wilkins","University of Georgia",15,1074,1982,3
"4986","DAL","Bill Garnett","University of Wyoming",4,300,1982,4
"4987","KCK","LaSalle Thompson","University of Texas at Austin",15,985,1982,5
"4988","NYK","Trent Tucker","University of Minnesota",11,756,1982,6
"4989","CHI","Quintin Dailey","University of San Francisco",10,528,1982,7
"4990","IND","Clark Kellogg","Ohio State University",5,260,1982,8
"4991","DET","Cliff Levingston","Wichita State University",11,830,1982,9
"4992","ATL","Keith Edmonson","Purdue University",2,87,1982,10
"4993","POR","Fat Lever","Arizona State University",11,752,1982,11
"4994","CLE","John Bagley","Boston College",11,665,1982,12
"4995","NJN","Sleepy Floyd","Georgetown University",13,957,1982,13
"4996","GSW","Lester Conner","Oregon State University",12,687,1982,14
"4997","PHO","David Thirdkill","Bradley University",5,179,1982,15
"4998","HOU","Terry Teagle","Baylor University",11,687,1982,16
"4999","KCK","Brook Steppe","Georgia Institute of Technology",5,238,1982,17
"5000","DET","Ricky Pierce","Rice University",16,969,1982,18
"5001","DEN","Rob Williams","University of Houston",2,153,1982,19
"5002","MIL","Paul Pressey","University of Tulsa",11,724,1982,20
"5003","NJN","Eddie Phillips","University of Alabama",1,48,1982,21
"5004","PHI","Mark McNamara","University of California",8,278,1982,22
"5005","BOS","Darren Tillis","Cleveland State University",2,124,1982,23
"5006","SAS","Oliver Robinson","University of Alabama at Birmingham",1,35,1982,24
"5007","WSB","Bryan Warrick","Saint Joseph's University",4,169,1982,25
"5008","CHI","Ricky Frazier","University of Missouri",NA,NA,1982,26
"5009","MIL","Fred Roberts","Brigham Young University",13,818,1982,27
"5010","CLE","Dave Magley","University of Kansas",1,14,1982,28
"5011","NYK","Scott Hastings","University of Arkansas",11,578,1982,29
"5012","CHI","Wallace Bryant","University of San Francisco",3,102,1982,30
"5013","CHI","Rod Higgins","California State University, Fresno",13,779,1982,31
"5014","SDC","Richard Anderson","University of California, Santa Barbara",6,407,1982,32
"5015","POR","Linton Townes","James Madison University",3,60,1982,33
"5016","NYK","Vince Taylor","Duke University",1,31,1982,34
"5017","GSW","Derek Smith","University of Louisville",9,408,1982,35
"5018","PHI","J.J. Anderson","Bradley University",3,157,1982,36
"5019","POR","Audie Norris","Jackson State University",3,187,1982,37
"5020","GSW","Wayne Sappleton","Loyola University of Chicago",1,33,1982,38
"5021","PHO","Kevin Magee","University of California, Irvine",NA,NA,1982,39
"5022","IND","Guy Morgan","Wake Forest University",1,8,1982,40
"5023","WSB","Dwight Anderson","University of Southern California",1,5,1982,41
"5024","HOU","Jeff Taylor","Texas Tech University",2,56,1982,42
"5025","IND","Jose Slaughter","University of Portland",1,63,1982,43
"5026","WSB","Mike Gibson","University of South Carolina Upstate",2,64,1982,44
"5027","PHI","Russ Schoene","University of Tennessee at Chattanooga",4,290,1982,45
"5028","BOS","Tony Guy","University of Kansas",NA,NA,1982,46
"5029","CLE","Michael Wilson","Marquette University",3,32,1982,47
"5030","SDC","Craig Hodges","California State University, Long Beach",10,695,1982,48
"5031","UTA","Steve Trumbo","Brigham Young University",NA,NA,1982,49
"5032","DAL","Corny Thompson","University of Connecticut",1,44,1982,50
"5033","KCK","Jim Johnstone","Wake Forest University",1,23,1982,51
"5034","NYK","Dan Caldwell","University of Washington",NA,NA,1982,52
"5035","CHI","Tyrone Adams","Kansas State University",NA,NA,1982,53
"5036","LAL","Willie Jones","Vanderbilt University",NA,NA,1982,54
"5037","UTA","Jerry Eaves","University of Louisville",4,168,1982,55
"5038","ATL","Joe Kopicki","University of Detroit Mercy",3,118,1982,56
"5039","NYK","Craig Tucker","University of Illinois at Urbana-Champaign",NA,NA,1982,57
"5040","WSB","Mike Largey","Upsala College",NA,NA,1982,58
"5041","NJN","Jimmy Black","University of North Carolina",NA,NA,1982,59
"5042","GSW","Chris Engler","University of Wyoming",5,195,1982,60
"5043","PHO","Charles Pittman","University of Maryland",4,234,1982,61
"5044","DEN","Roylin Bond","Pepperdine University",NA,NA,1982,62
"5045","HOU","Chuck Nevitt","North Carolina State University",9,155,1982,63
"5046","SAS","Willie Redden","University of South Florida",NA,NA,1982,64
"5047","SEA","John Greig","University of Oregon",1,9,1982,65
"5048","POR","Phillip Lockett","University of Alabama",NA,NA,1982,66
"5049","LAL","Mike Hackett","Jacksonville University",NA,NA,1982,67
"5050","PHI","Dale Solomon","Virginia Polytechnic Institute and State University",NA,NA,1982,68
"5051","BOS","Perry Moss","Northeastern University",2,136,1982,69
"5052","CLE","Reggie Hannah","University of South Alabama",NA,NA,1982,70
"5053","SDC","Darius Clemons","Loyola University of Chicago",NA,NA,1982,71
"5054","UTA","Mark Eaton","University of California, Los Angeles",11,875,1982,72
"5055","DAL","Rudy Woods","Texas A&M University",NA,NA,1982,73
"5056","KCK","Mike Sanders","University of California, Los Angeles",11,648,1982,74
"5057","NYK","Norm Anchrum","University of Alabama at Birmingham",NA,NA,1982,75
"5058","CHI","Chuck Aleksinas","University of Connecticut",1,74,1982,76
"5059","IND","Jeff Jones","University of Virginia",NA,NA,1982,77
"5060","DET","Walker Russell","Western Michigan University",6,155,1982,78
"5061","POR","Eric Smith","Georgetown University",NA,NA,1982,79
"5062","NJN","James Griffin","University of Illinois at Urbana-Champaign",NA,NA,1982,80
"5063","WSB","Dino Gregory","California State University, Long Beach",NA,NA,1982,81
"5064","NJN","Tony Brown","University of Arkansas",7,360,1982,82
"5065","GSW","Ken Stancell","Virginia Commonwealth University",NA,NA,1982,83
"5066","DEN","Alford Turner","University of Louisiana at Lafayette",NA,NA,1982,84
"5067","HOU","Andre Gaddy","George Mason University",NA,NA,1982,85
"5068","PHO","Rory White","University of South Alabama",5,324,1982,86
"5069","SAS","Tony Grier","University of South Florida",NA,NA,1982,87
"5070","SEA","Ken Owens","University of Idaho",NA,NA,1982,88
"5071","MIL","Jerry Beck","Middle Tennessee State University",NA,NA,1982,89
"5072","LAL","Craig McCormick","Western Kentucky University",NA,NA,1982,90
"5073","PHI","Bruce Atkins","Duquesne University",NA,NA,1982,91
"5074","BOS","Greg Stewart","University of Tulsa",NA,NA,1982,92
"5075","CLE","Terry White","University of Texas at El Paso",NA,NA,1982,93
"5076","SDC","Gary Carter","University of Tennessee",NA,NA,1982,94
"5077","UTA","Mike McKay","University of Connecticut",NA,NA,1982,95
"5078","DAL","Ken Arnold","University of Iowa",NA,NA,1982,96
"5079","KCK","Ken Simpson","Grambling State University",NA,NA,1982,97
"5080","NYK","Aaron Howard","Villanova University",NA,NA,1982,98
"5081","CHI","Rubin Jackson","Oklahoma City University",NA,NA,1982,99
"5082","IND","Rich DiBenedetto","University of Wisconsin-Eau Claire",NA,NA,1982,100
"5083","DET","John Ebeling","Florida Southern College",NA,NA,1982,101
"5084","ATL","Mark Hall","University of Minnesota",NA,NA,1982,102
"5085","POR","Cherokee Rhone","Centenary College of Louisiana",NA,NA,1982,103
"5086","WSB","Clarence Dickerson","University of Hawaii",NA,NA,1982,104
"5087","NJN","Chris Giles","University of Alabama at Birmingham",NA,NA,1982,105
"5088","GSW","Albert Irving","Alcorn State University",NA,NA,1982,106
"5089","HOU","Jeff Schneider","Virginia Polytechnic Institute and State University",NA,NA,1982,107
"5090","PHO","Marvin McCrary","University of Missouri",NA,NA,1982,108
"5091","DEN","Bill Duffy","Santa Clara University",NA,NA,1982,109
"5092","SAS","Clarence Swannegan","Texas Tech University",NA,NA,1982,110
"5093","SEA","Rod Camp","Southern Illinois University",NA,NA,1982,111
"5094","WSB","Jerry Davis","University of Detroit Mercy",NA,NA,1982,112
"5095","LAL","Howard McNeill","Seton Hall University",NA,NA,1982,113
"5096","PHI","Donald Mason","California State University, Fresno",NA,NA,1982,114
"5097","BOS","William Brown","Saint Peter's College",NA,NA,1982,115
"5098","CLE","Vince Reynolds","University of South Florida",NA,NA,1982,116
"5099","SDC","Eric Marbury","University of Georgia",NA,NA,1982,117
"5100","UTA","Alvin Jackson","Southern University and A&M College",NA,NA,1982,118
"5101","DAL","Wayne Waggoner","Northwestern State University",NA,NA,1982,119
"5102","KCK","Poncho Wright","University of Louisville",NA,NA,1982,120
"5103","NYK","Mike Kanieski","University of Dayton",NA,NA,1982,121
"5104","CHI","B. B. Fontenet","University of Nevada, Reno",NA,NA,1982,122
"5105","IND","Jeff Clark","Saint Joseph's University",NA,NA,1982,123
"5106","DET","Gary Holmes","University of Minnesota",NA,NA,1982,124
"5107","POR","Leo Cunningham","Utah State University",NA,NA,1982,125
"5108","ATL","Jay Bruchak","Mount St. Mary's University",NA,NA,1982,126
"5109","WSB","Byron Williams","Idaho State University",NA,NA,1982,127
"5110","NJN","Mel Daniel","Furman University",NA,NA,1982,128
"5111","GSW","David Vann","Saint Mary's College of California",NA,NA,1982,129
"5112","PHO","Jake Bethany","Hardin-Simmons University",NA,NA,1982,130
"5113","DEN","Chris Brust","University of North Carolina",NA,NA,1982,131
"5114","HOU","Don Wilson","University of Louisiana at Monroe",NA,NA,1982,132
"5115","SAS","Jaime Pena","New Mexico State University",NA,NA,1982,133
"5116","SEA","Bobby Potts","University of North Carolina at Charlotte",NA,NA,1982,134
"5117","MIL","Tony Carr","University of Wisconsin-Eau Claire",NA,NA,1982,135
"5118","LAL","Lynden Rose","University of Houston",NA,NA,1982,136
"5119","PHI","Kevin Boyle","University of Iowa",NA,NA,1982,137
"5120","BOS","John Schweitz","University of Richmond",2,22,1982,138
"5121","CLE","Randy Reed","Kansas State University",NA,NA,1982,139
"5122","SDC","Eddie Hughes","Colorado State University",3,97,1982,140
"5123","UTA","Thad Gardner","University of Michigan",NA,NA,1982,141
"5124","DAL","Bob Grady","Northwestern University",NA,NA,1982,142
"5125","KCK","Perry Range","University of Illinois at Urbana-Champaign",NA,NA,1982,143
"5126","NYK","Phil Seymore","Canisius College",NA,NA,1982,144
"5127","CHI","Chuck Verderber","University of Kentucky",NA,NA,1982,145
"5128","IND","Brad Leaf","University of Evansville",NA,NA,1982,146
"5129","DET","Dean Marquardt","Marquette University",NA,NA,1982,147
"5130","ATL","Horace Wyatt","Clemson University",NA,NA,1982,148
"5131","POR","Terry Long","Lamar University",NA,NA,1982,149
"5132","WSB","Wendell Gibson","University of South Carolina",NA,NA,1982,150
"5133","NJN","Tony Anderson","University of California, Los Angeles",NA,NA,1982,151
"5134","GSW","Matt Waldron","University of the Pacific",NA,NA,1982,152
"5135","DEN","Jeb Barlow","University of North Carolina",NA,NA,1982,153
"5136","HOU","Mike Helms","Wake Forest University",NA,NA,1982,154
"5137","PHO","Phil Ward","University of North Carolina at Charlotte",NA,NA,1982,155
"5138","SAS","Delonte Taylor","University of North Texas",NA,NA,1982,156
"5139","SEA","Allen Rayhorn","Northern Illinois University",NA,NA,1982,157
"5140","MIL","Bobby Austin","University of Cincinnati",NA,NA,1982,158
"5141","LAL","Maurice Williams","University of Southern California",NA,NA,1982,159
"5142","PHI","Keith Hilliard","Missouri State University",NA,NA,1982,160
"5143","BOS","Phil Collins","West Virginia University",NA,NA,1982,161
"5144","CLE","Monty Knight","Virginia Commonwealth University",NA,NA,1982,162
"5145","SDC","Jacques Tuz","University of Colorado",NA,NA,1982,163
"5146","UTA","Rick Campbell","Middle Tennessee State University",NA,NA,1982,164
"5147","DAL","Keith Peterson","University of Arkansas",NA,NA,1982,165
"5148","KCK","Ed Nealy","Kansas State University",10,540,1982,166
"5149","NYK","Dan Terwilliger","Siena College",NA,NA,1982,167
"5150","CHI","Mike Burns","University of Nevada, Las Vegas",NA,NA,1982,168
"5151","IND","Donald Reese","Bradley University",NA,NA,1982,169
"5152","DET","Brian Nyenhuis","Marquette University",NA,NA,1982,170
"5153","POR","Dave Porter","Western Oregon University",NA,NA,1982,171
"5154","ATL","James Ratiff","Howard University",NA,NA,1982,172
"5155","WSB","Ken Luck","University of Delaware",NA,NA,1982,173
"5156","NJN","Otis Jackson","University of Memphis",NA,NA,1982,174
"5157","GSW","Mark King","Florida Southern College",NA,NA,1982,175
"5158","HOU","Dan Callandrillo","Seton Hall University",NA,NA,1982,176
"5159","PHO","Rick Elrod","Georgetown College",NA,NA,1982,177
"5160","DEN","Donny Speer","University of Alabama at Birmingham",NA,NA,1982,178
"5161","SAS","Chris Faggi","University of Memphis",NA,NA,1982,179
"5162","SEA","Steve Burks","University of Washington",NA,NA,1982,180
"5163","MIL","Bryan Leonard","University of Illinois at Urbana-Champaign",NA,NA,1982,181
"5164","LAL","Micah Blunt","Tulane University",NA,NA,1982,182
"5165","PHI","Donald Seals","Jackson State University",NA,NA,1982,183
"5166","BOS","Ed Spriggs","Georgetown University",NA,NA,1982,184
"5167","CLE","Tony Hafley","University of South Alabama",NA,NA,1982,185
"5168","SDC","John Hegwood","University of San Francisco",NA,NA,1982,186
"5169","UTA","Riley Clarida","Long Island University",NA,NA,1982,187
"5170","DAL","Ralph McPherson","University of Texas at Arlington",NA,NA,1982,188
"5171","KCK","Jack Moore","University of Nebraska",NA,NA,1982,189
"5172","NYK","Merle Scott","South Carolina State University",NA,NA,1982,190
"5173","CHI","Skip Dillard","DePaul University",NA,NA,1982,191
"5174","IND","Mike Scearce","Purdue University",NA,NA,1982,192
"5175","DET","Kevin Smith","Michigan State University",NA,NA,1982,193
"5176","ATL","Pierre Bland","Elizabeth City State University",NA,NA,1982,194
"5177","POR","Mark Dearborn","Saint Joseph's University",NA,NA,1982,195
"5178","WSB","James Terry","Howard University",NA,NA,1982,196
"5179","NJN","Gary Johnson","Oral Roberts University",NA,NA,1982,197
"5180","GSW","Nick Morken","University of Tennessee",NA,NA,1982,198
"5181","PHO","Ken Lyles","University of Washington",NA,NA,1982,199
"5182","DEN","Dean Sears","University of California, Los Angeles",NA,NA,1982,200
"5183","SAS","Harry O'Brien","St. Mary's University",NA,NA,1982,201
"5184","MIL","Robert Tate","Idaho State University",NA,NA,1982,202
"5185","LAL","Tim Byrne","Rutgers University",NA,NA,1982,203
"5186","PHI","George Melton","Cheyney University of Pennsylvania",NA,NA,1982,204
"5187","BOS","Panayoti Giannakis",NA,NA,NA,1982,205
"5188","CLE","Durand Walker","Marion College",NA,NA,1982,206
"5189","SDC","Daryl Stovall","Creighton University",NA,NA,1982,207
"5190","UTA","Michael Edwards","University of New Orleans",NA,NA,1982,208
"5191","DAL","Albert Culton","University of Texas at Arlington",NA,NA,1982,209
"5192","KCK","Robert Estes","Iowa State University",NA,NA,1982,210
"5193","NYK","John Leonard","Manhattan College",NA,NA,1982,211
"5194","CHI","Tony Britto","Campbell University",NA,NA,1982,212
"5195","IND","Craig Summers","University of Wisconsin-Stout",NA,NA,1982,213
"5196","DET","David Coulthard",NA,NA,NA,1982,214
"5197","POR","Grant Taylor","University of California, Irvine",NA,NA,1982,215
"5198","ATL","Ronnie McAdoo","Old Dominion University",NA,NA,1982,216
"5199","WSB","Donald Sinclair","North Carolina Central University",NA,NA,1982,217
"5200","NJN","Sean Tuohy","University of Mississippi",NA,NA,1982,218
"5201","GSW","Randy Whieldon","University of California, Irvine",NA,NA,1982,219
"5202","DEN","Mike Phillips","Niagara University",NA,NA,1982,220
"5203","PHO","Dale Wilkinson","Idaho State University",1,12,1982,221
"5204","SAS","Keith White","McMurry University",NA,NA,1982,222
"5205","MIL","Bob Coenen","University of Wisconsin-Eau Claire",NA,NA,1982,223
"5206","PHI","Randy Burkert","Drexel University",NA,NA,1982,224
"5207","BOS","Landon Turner","Indiana University",NA,NA,1982,225
"5208","HOU","Ralph Sampson","University of Virginia",9,456,1983,1
"5209","IND","Steve Stipanovich","University of Missouri",5,403,1983,2
"5210","HOU","Rodney McCray","University of Louisville",10,768,1983,3
"5211","SDC","Byron Scott","Arizona State University",14,1073,1983,4
"5212","CHI","Sidney Green","University of Nevada, Las Vegas",10,679,1983,5
"5213","GSW","Russell Cross","Purdue University",1,45,1983,6
