"","Team","Player","College","Play_Yrs","Games","Year","Pick"
"371","NYK","Don Heathington","Baylor University",NA,NA,1950,102
"372","PHW","Joe Kaufman","New York University",NA,NA,1950,103
"373","ROC","Warren Switzer","Rice University",NA,NA,1950,104
"374","SYR","Bob Savage","Syracuse University",NA,NA,1950,105
"375","TRI","Nate DeLong","University of Wisconsin-River Falls",1,17,1950,106
"376","WSC","Earl Lloyd","West Virginia State University",9,560,1950,107
"377","BLB","Mike Zedalis","Loyola College in Maryland",NA,NA,1950,108
"378","BOS","Matt Forman","College of the Holy Cross",NA,NA,1950,109
"379","CHS","Bud Schaeffer","Wheaton College",NA,NA,1950,110
"380","INO","Colin Anderson","Georgia Institute of Technology",NA,NA,1950,111
"381","MNL","Andy Butchko","Purdue University",NA,NA,1950,112
"382","PHW","Bernie Adams","Princeton University",NA,NA,1950,113
"383","ROC","Harry Foley","Niagara University",NA,NA,1950,114
"384","SYR","Glenn Wilkes","Mercer University",NA,NA,1950,115
"385","TRI","Keith Bloom","University of Wyoming",NA,NA,1950,116
"386","WSC","Joe Noertker","University of Virginia",NA,NA,1950,117
"387","INO","Jimmy Doyle","Butler University",NA,NA,1950,118
"388","PHW","Leo Wolfe","Villanova University",NA,NA,1950,119
"389","PHW","Ed Montgomery","University of Tennessee",NA,NA,1950,120
"390","MNL","Whitey Skoog","University of Minnesota",6,341,1950,121
"391","BLB","Gene Melchiorre","Bradley University",NA,NA,1951,1
"392","TRI","Mel Hutchins","Brigham Young University",7,437,1951,2
"393","INO","Marcus Freiberger","University of Oklahoma",NA,NA,1951,3
"394","FTW","Zeke Sinicola","Niagara University",2,12,1951,4
"395","SYR","John McConathy","Northwestern State University",1,11,1951,5
"396","NYK","Ed Smith","Harvard University",1,12,1951,6
"397","BOS","Ernie Barrett","Kansas State University",2,131,1951,7
"398","ROC","Sam Ranzino","North Carolina State University",1,39,1951,8
"399","PHW","Don Sunderlage","University of Illinois at Urbana-Champaign",2,113,1951,9
"400","BLB","Jack Stone","Kansas State University",NA,NA,1951,10
"401","TRI","Bill Gossett","Colorado State University",NA,NA,1951,11
"402","INO","Scotty Steagall","Millikin University",NA,NA,1951,12
"403","FTW","Jack Kiley","Syracuse University",2,53,1951,13
"404","SYR","Don Savage","LeMoyne College",2,17,1951,14
"405","NYK","Roland Minson","Brigham Young University",NA,NA,1951,15
"406","BOS","Bill Garrett","Indiana University",NA,NA,1951,16
"407","ROC","Ray Ragelis","Northwestern University",1,51,1951,17
"408","PHW","Mel Payton","Tulane University",2,111,1951,18
"409","MNL","Lew Hitch","Kansas State University",6,414,1951,19
"410","BLB","Bill Mann","Bradley University",NA,NA,1951,20
"411","TRI","Ron Bontemps","Beloit College",NA,NA,1951,21
"412","INO","Glenn Kammeyer","Central Missouri State University",NA,NA,1951,22
"413","FTW","Jake Fendley","Northwestern University",2,103,1951,23
"414","SYR","Bato Govedarica","DePaul University",1,23,1951,24
"415","NYK","Joe Luchi","University of Cincinnati",NA,NA,1951,25
"416","BOS","John Furlong","Pepperdine University",NA,NA,1951,26
"417","ROC","Fred Diute","St. Bonaventure University",1,7,1951,27
"418","PHW","Bob Schloss","University of Georgia",NA,NA,1951,28
"419","MNL","Bob Payne","Oregon State University",NA,NA,1951,29
"420","BLB","Bill Hagler","University of California",NA,NA,1951,30
"421","TRI","Jim Slaughter","University of South Carolina",1,28,1951,31
"422","INO","Bill Tosheff","Indiana University",3,203,1951,32
