Rk,Year,Lg,Rd,Pk,Tm,Player,Age,Pos,Born,College,From,To,WS,G,MP,PTS,TRB,AST,STL,BLK,FG%,2P%,3P%,FT%,WS/48
2823,1980,NBA,3,57,DAL,Dave Britton\brittda01,21.291,G,us,Texas A&M,1981,1981,0,2,4.5,2,1,1.5,0.5,0,0.667,0.667,,,0.093
2824,1980,NBA,3,66,SEA,Carl Bailey\baileca01,22.054,C,us,Tuskegee University,1982,1982,0,1,7,2,0,0,0,0,1,1,,,-0.268
2825,1980,NBA,4,87,LAL,Tony Jackson\jacksto02,22.15,G,us,Florida State,1981,1981,0,2,7,1,1,1,1,0,0.333,0.333,,,0.124
2826,1981,NBA,2,41,WSB,Claude Gregory\gregocl01,22.171,F,us,Wisconsin,1986,1988,0,25,12.6,5.4,3.9,0.6,0.4,0.5,0.456,0.459,0,0.333,0.007
2827,1981,NBA,2,44,WSB,Steve Lingenfelter\lingest01,23.005,F,us,South Dakota State,1983,1984,0,10,6.7,1,1.6,0.5,0.1,0.3,0.714,0.714,,0,0.009
2828,1981,NBA,10,211,DEN,Derrick Rowland\rowlade01,21.359,G,us,State University of New York at Potsdam,1986,1986,0,2,4.5,1.5,0.5,0.5,0,0,0.333,0.333,,0.5,0.048
2829,1982,NBA,2,41,WSB,Dwight Anderson\anderdw01,21.188,G,us,USC,1983,1983,0,5,6.6,4.2,0.4,0.6,0.2,0,0.5,0.5,,0.7,0.001
2830,1983,NBA,1,15,DEN,Howard Carter\carteho01,21.25,G,us,LSU,1984,1985,0,66,11.4,5.3,1.3,1.1,0.3,0.1,0.44,0.454,0.227,0.774,-0.002
2831,1983,NBA,2,35,SAS,Darrell Lockhart\lockhda01,22.292,C,us,Auburn,1984,1984,0,2,7,2,1.5,0,0,0,1,1,,,-0.048
2832,1983,NBA,4,82,NYK,Mark Jones\jonesma02,22.084,G,us,St. Bonaventure,1984,1984,0,6,2.7,1.2,0.3,0.8,0,0,0.5,0.6,0,0.5,0.07
2833,1983,NBA,4,90,SAS,Brant Weidner\weidnbr01,22.248,F,us,William & Mary,1984,1984,0,8,4.8,1,1.4,0,0,0.3,0.222,0.222,,1,-0.014
2834,1983,NBA,5,101,DET,Ken Austin\austike01,21.353,F,us,Rice University,1984,1984,0,7,4,1.7,0.4,0.1,0.1,0.1,0.462,0.462,,,-0.046
2835,1983,NBA,5,102,DAL,Jim Lampley\lamplji01,23.001,C,us,Little Rock,1987,1987,0,1,16,3,5,0,1,0,0.333,0.333,,0.5,-0.003
